type_hosp,codeGeo,Dépt,DéptNom,GDE REG,Nb RHA,Nb SSRHA,Nb séjours,Nb journées,Année
HP,93000,93,SEINE SAINT DENIS,IDF,8,3,8,32,2022
HC,93100,93,SEINE SAINT DENIS,IDF,3,2,2,11,2020
HC,93100,93,SEINE SAINT DENIS,IDF,5,2,2,28,2021
HP,93100,93,SEINE SAINT DENIS,IDF,13,2,13,54,2021
HC,93100,93,SEINE SAINT DENIS,IDF,6,2,2,31,2022
HC,93140,93,SEINE SAINT DENIS,IDF,8,3,3,35,2021
HC,93140,93,SEINE SAINT DENIS,IDF,4,1,1,19,2022
HP,93140,93,SEINE SAINT DENIS,IDF,12,3,12,48,2022
HC,93150,93,SEINE SAINT DENIS,IDF,14,1,1,86,2021
HP,93150,93,SEINE SAINT DENIS,IDF,15,3,15,62,2022
HP,93190,93,SEINE SAINT DENIS,IDF,9,1,9,35,2021
HP,93190,93,SEINE SAINT DENIS,IDF,2,2,2,2,2022
HP,93240,93,SEINE SAINT DENIS,IDF,2,2,2,2,2020
HP,93240,93,SEINE SAINT DENIS,IDF,20,6,20,75,2021
HP,93240,93,SEINE SAINT DENIS,IDF,6,4,6,17,2022
HC,93270,93,SEINE SAINT DENIS,IDF,2,1,1,11,2020
HP,93270,93,SEINE SAINT DENIS,IDF,1,1,1,1,2020
HC,93270,93,SEINE SAINT DENIS,IDF,17,7,7,68,2021
HC,93270,93,SEINE SAINT DENIS,IDF,16,2,2,99,2022
HP,93290,93,SEINE SAINT DENIS,IDF,1,1,1,1,2020
HP,93290,93,SEINE SAINT DENIS,IDF,6,3,6,7,2021
HC,93290,93,SEINE SAINT DENIS,IDF,21,3,3,124,2022
HP,93290,93,SEINE SAINT DENIS,IDF,10,4,10,40,2022
HP,93300,93,SEINE SAINT DENIS,IDF,1,1,1,1,2020
HC,93310,93,SEINE SAINT DENIS,IDF,3,1,1,15,2022
HP,93320,93,SEINE SAINT DENIS,IDF,7,3,7,21,2021
HP,93420,93,SEINE SAINT DENIS,IDF,1,1,1,1,2020
HC,93420,93,SEINE SAINT DENIS,IDF,9,2,2,50,2021
HP,93420,93,SEINE SAINT DENIS,IDF,6,1,6,30,2021
HP,93420,93,SEINE SAINT DENIS,IDF,42,3,42,165,2022
HC,93500,93,SEINE SAINT DENIS,IDF,5,1,1,26,2020
HP,93500,93,SEINE SAINT DENIS,IDF,2,2,2,2,2020
HP,93500,93,SEINE SAINT DENIS,IDF,1,1,1,1,2021
HP,93600,93,SEINE SAINT DENIS,IDF,13,9,13,32,2021
HC,93600,93,SEINE SAINT DENIS,IDF,16,3,3,92,2022
HP,93600,93,SEINE SAINT DENIS,IDF,24,10,24,80,2022
HC,93700,93,SEINE SAINT DENIS,IDF,9,1,1,52,2022
HC,93800,93,SEINE SAINT DENIS,IDF,9,3,3,50,2020
HP,93800,93,SEINE SAINT DENIS,IDF,6,2,6,26,2020
HC,93800,93,SEINE SAINT DENIS,IDF,24,6,6,126,2021
HP,93800,93,SEINE SAINT DENIS,IDF,4,3,4,10,2021
HC,93800,93,SEINE SAINT DENIS,IDF,50,8,8,299,2022
HP,93800,93,SEINE SAINT DENIS,IDF,23,6,23,89,2022
HP,94170,94,VAL DE MARNE,IDF,6,3,6,19,2022
HP,94200,94,VAL DE MARNE,IDF,1,1,1,1,2020
HC,94200,94,VAL DE MARNE,IDF,3,1,1,16,2021
HP,94200,94,VAL DE MARNE,IDF,1,1,1,1,2021
HP,94200,94,VAL DE MARNE,IDF,1,1,1,1,2022
HP,94310,94,VAL DE MARNE,IDF,1,1,1,1,2021
HP,94400,94,VAL DE MARNE,IDF,6,4,6,15,2022
HP,94440,94,VAL DE MARNE,IDF,3,2,3,11,2020
HP,94600,94,VAL DE MARNE,IDF,1,1,1,1,2022
HC,95100,95,VAL D'OISE,IDF,7,2,2,44,2020
HP,95100,95,VAL D'OISE,IDF,37,15,37,93,2020
HC,95100,95,VAL D'OISE,IDF,39,7,7,230,2021
HP,95100,95,VAL D'OISE,IDF,65,18,65,189,2021
HC,95100,95,VAL D'OISE,IDF,35,7,7,190,2022
HP,95100,95,VAL D'OISE,IDF,67,27,67,222,2022
HC,95110,95,VAL D'OISE,IDF,11,1,1,68,2020
HP,95110,95,VAL D'OISE,IDF,5,4,5,11,2020
HC,95110,95,VAL D'OISE,IDF,4,1,1,21,2021
HP,95110,95,VAL D'OISE,IDF,6,2,6,20,2021
HC,95110,95,VAL D'OISE,IDF,4,1,1,25,2022
HP,95110,95,VAL D'OISE,IDF,8,5,8,26,2022
HP,95120,95,VAL D'OISE,IDF,9,6,9,18,2020
HP,95120,95,VAL D'OISE,IDF,3,3,3,3,2021
HC,95120,95,VAL D'OISE,IDF,7,2,2,36,2022
HP,95120,95,VAL D'OISE,IDF,27,13,27,82,2022
HP,95130,95,VAL D'OISE,IDF,12,8,12,23,2020
HC,95130,95,VAL D'OISE,IDF,3,1,1,13,2021
HP,95130,95,VAL D'OISE,IDF,16,6,16,58,2021
HC,95130,95,VAL D'OISE,IDF,4,1,1,23,2022
HP,95130,95,VAL D'OISE,IDF,19,9,19,31,2022
HP,95140,95,VAL D'OISE,IDF,48,20,48,158,2020
HC,95140,95,VAL D'OISE,IDF,13,3,3,64,2021
HP,95140,95,VAL D'OISE,IDF,49,10,49,195,2021
HC,95140,95,VAL D'OISE,IDF,1,1,1,4,2022
HP,95140,95,VAL D'OISE,IDF,29,11,29,107,2022
HP,95150,95,VAL D'OISE,IDF,4,3,4,12,2020
HP,95150,95,VAL D'OISE,IDF,29,6,29,68,2021
HP,95150,95,VAL D'OISE,IDF,24,7,24,52,2022
HP,95160,95,VAL D'OISE,IDF,6,3,6,6,2021
HP,95160,95,VAL D'OISE,IDF,10,3,10,38,2022
HP,95170,95,VAL D'OISE,IDF,6,3,6,22,2020
HP,95170,95,VAL D'OISE,IDF,16,3,16,66,2021
HP,95170,95,VAL D'OISE,IDF,2,2,2,6,2022
HC,95180,95,VAL D'OISE,IDF,8,3,3,38,2021
HP,95180,95,VAL D'OISE,IDF,1,1,1,1,2021
HC,95180,95,VAL D'OISE,IDF,9,1,1,52,2022
HP,95180,95,VAL D'OISE,IDF,2,2,2,2,2022
HP,95190,95,VAL D'OISE,IDF,16,8,16,54,2020
HC,95190,95,VAL D'OISE,IDF,8,1,1,52,2021
HP,95190,95,VAL D'OISE,IDF,28,8,28,106,2021
HC,95190,95,VAL D'OISE,IDF,9,3,3,40,2022
HP,95190,95,VAL D'OISE,IDF,37,11,37,136,2022
HP,95200,95,VAL D'OISE,IDF,16,8,16,39,2020
HC,95200,95,VAL D'OISE,IDF,22,5,5,121,2021
HP,95200,95,VAL D'OISE,IDF,56,14,56,212,2021
HC,95200,95,VAL D'OISE,IDF,7,2,2,37,2022
HP,95200,95,VAL D'OISE,IDF,44,10,44,147,2022
HC,95210,95,VAL D'OISE,IDF,19,1,1,129,2020
HP,95210,95,VAL D'OISE,IDF,7,4,7,21,2020
HC,95230,95,VAL D'OISE,IDF,7,1,1,44,2020
HP,95230,95,VAL D'OISE,IDF,1,1,1,1,2020
HC,95230,95,VAL D'OISE,IDF,4,1,1,20,2021
HP,95230,95,VAL D'OISE,IDF,25,7,25,105,2021
HP,95230,95,VAL D'OISE,IDF,24,3,24,112,2022
HP,95240,95,VAL D'OISE,IDF,5,3,5,14,2020
HP,95240,95,VAL D'OISE,IDF,49,5,49,164,2021
HP,95240,95,VAL D'OISE,IDF,25,9,25,82,2022
HP,95250,95,VAL D'OISE,IDF,4,1,4,20,2020
HP,95250,95,VAL D'OISE,IDF,9,5,9,32,2021
HP,95250,95,VAL D'OISE,IDF,8,3,8,29,2022
HP,95260,95,VAL D'OISE,IDF,6,3,6,22,2020
HP,95260,95,VAL D'OISE,IDF,2,1,2,10,2021
HC,95260,95,VAL D'OISE,IDF,3,1,1,15,2022
HP,95260,95,VAL D'OISE,IDF,6,3,6,22,2022
HP,95270,95,VAL D'OISE,IDF,41,15,41,150,2020
HP,95270,95,VAL D'OISE,IDF,53,12,53,216,2021
HP,95270,95,VAL D'OISE,IDF,35,10,35,102,2022
HP,95280,95,VAL D'OISE,IDF,3,3,3,3,2020
HC,95280,95,VAL D'OISE,IDF,10,2,2,56,2021
HP,95280,95,VAL D'OISE,IDF,8,4,8,24,2021
HC,95280,95,VAL D'OISE,IDF,9,2,2,54,2022
HP,95280,95,VAL D'OISE,IDF,47,4,47,157,2022
HC,95290,95,VAL D'OISE,IDF,26,6,6,159,2020
HP,95290,95,VAL D'OISE,IDF,4,4,4,6,2020
HC,95290,95,VAL D'OISE,IDF,4,1,1,20,2021
HP,95290,95,VAL D'OISE,IDF,1,1,1,1,2022
HC,95310,95,VAL D'OISE,IDF,4,4,4,15,2020
HP,95310,95,VAL D'OISE,IDF,20,2,20,56,2020
HP,95310,95,VAL D'OISE,IDF,51,1,51,185,2021
HP,95310,95,VAL D'OISE,IDF,43,2,43,144,2022
HC,95320,95,VAL D'OISE,IDF,11,3,3,57,2020
HP,95320,95,VAL D'OISE,IDF,13,3,13,60,2020
HP,95320,95,VAL D'OISE,IDF,33,6,33,135,2021
HP,95320,95,VAL D'OISE,IDF,4,4,4,4,2022
HP,95330,95,VAL D'OISE,IDF,21,5,21,86,2020
HP,95330,95,VAL D'OISE,IDF,41,3,41,163,2021
HP,95330,95,VAL D'OISE,IDF,6,3,6,12,2022
HC,95340,95,VAL D'OISE,IDF,11,3,3,53,2020
HP,95340,95,VAL D'OISE,IDF,10,7,10,19,2020
HC,95340,95,VAL D'OISE,IDF,8,1,1,46,2021
HP,95340,95,VAL D'OISE,IDF,27,5,27,96,2021
HP,95340,95,VAL D'OISE,IDF,20,11,20,45,2022
HP,95350,95,VAL D'OISE,IDF,5,2,5,19,2022
HC,95360,95,VAL D'OISE,IDF,22,3,3,130,2021
HP,95360,95,VAL D'OISE,IDF,20,2,20,86,2021
HC,95360,95,VAL D'OISE,IDF,3,1,1,15,2022
HP,95360,95,VAL D'OISE,IDF,9,2,9,30,2022
HP,95370,95,VAL D'OISE,IDF,1,1,1,1,2022
HP,95380,95,VAL D'OISE,IDF,16,9,16,58,2020
HP,95380,95,VAL D'OISE,IDF,45,19,45,155,2021
HC,95380,95,VAL D'OISE,IDF,1,1,1,6,2022
HP,95380,95,VAL D'OISE,IDF,65,16,65,244,2022
HC,95390,95,VAL D'OISE,IDF,16,4,4,94,2020
HP,95390,95,VAL D'OISE,IDF,14,4,14,55,2020
HC,95390,95,VAL D'OISE,IDF,16,2,2,96,2021
HP,95390,95,VAL D'OISE,IDF,5,3,5,17,2021
HC,95400,95,VAL D'OISE,IDF,13,4,4,72,2020
HP,95400,95,VAL D'OISE,IDF,40,18,40,130,2020
HC,95400,95,VAL D'OISE,IDF,15,2,2,85,2021
HP,95400,95,VAL D'OISE,IDF,51,17,51,192,2021
HC,95400,95,VAL D'OISE,IDF,4,1,1,28,2022
HP,95400,95,VAL D'OISE,IDF,13,12,13,22,2022
HC,95410,95,VAL D'OISE,IDF,2,1,1,10,2020
HP,95410,95,VAL D'OISE,IDF,7,1,7,33,2020
HP,95410,95,VAL D'OISE,IDF,1,1,1,1,2021
HP,95420,95,VAL D'OISE,IDF,1,1,1,1,2020
HP,95420,95,VAL D'OISE,IDF,5,3,5,21,2021
HC,95420,95,VAL D'OISE,IDF,5,1,1,27,2022
HP,95420,95,VAL D'OISE,IDF,2,2,2,6,2022
HP,95470,95,VAL D'OISE,IDF,6,5,6,7,2020
HC,95470,95,VAL D'OISE,IDF,6,2,2,27,2021
HP,95470,95,VAL D'OISE,IDF,66,14,66,235,2021
HC,95470,95,VAL D'OISE,IDF,11,2,2,63,2022
HP,95470,95,VAL D'OISE,IDF,58,16,58,205,2022
HC,95490,95,VAL D'OISE,IDF,3,1,1,17,2020
HP,95490,95,VAL D'OISE,IDF,3,3,3,3,2020
HP,95490,95,VAL D'OISE,IDF,2,2,2,2,2022
HC,95500,95,VAL D'OISE,IDF,20,1,1,135,2020
HP,95500,95,VAL D'OISE,IDF,26,9,26,76,2020
HC,95500,95,VAL D'OISE,IDF,9,3,3,49,2021
HP,95500,95,VAL D'OISE,IDF,28,9,28,84,2021
HC,95500,95,VAL D'OISE,IDF,8,2,2,47,2022
HP,95500,95,VAL D'OISE,IDF,20,16,20,36,2022
HP,95520,95,VAL D'OISE,IDF,15,7,15,43,2020
HP,95520,95,VAL D'OISE,IDF,7,3,7,26,2021
HP,95520,95,VAL D'OISE,IDF,10,5,10,37,2022
HP,95540,95,VAL D'OISE,IDF,27,2,27,62,2021
HP,95550,95,VAL D'OISE,IDF,8,3,8,32,2021
HP,95550,95,VAL D'OISE,IDF,6,1,6,16,2022
HP,95560,95,VAL D'OISE,IDF,29,2,29,129,2020
HP,95560,95,VAL D'OISE,IDF,34,4,34,137,2021
HP,95560,95,VAL D'OISE,IDF,8,1,8,22,2022
HC,95570,95,VAL D'OISE,IDF,54,8,8,330,2020
HP,95570,95,VAL D'OISE,IDF,23,1,23,52,2020
HC,95570,95,VAL D'OISE,IDF,37,7,7,197,2021
HP,95570,95,VAL D'OISE,IDF,4,3,4,11,2021
HC,95590,95,VAL D'OISE,IDF,3,1,1,20,2020
HC,95600,95,VAL D'OISE,IDF,18,14,14,77,2020
HP,95600,95,VAL D'OISE,IDF,12,5,12,43,2020
HC,95600,95,VAL D'OISE,IDF,33,7,7,188,2021
HP,95600,95,VAL D'OISE,IDF,7,6,7,14,2021
HC,95600,95,VAL D'OISE,IDF,14,4,4,80,2022
HP,95600,95,VAL D'OISE,IDF,13,6,13,46,2022
HP,95610,95,VAL D'OISE,IDF,16,6,16,60,2020
HP,95610,95,VAL D'OISE,IDF,18,8,18,45,2021
HC,95610,95,VAL D'OISE,IDF,3,1,1,15,2022
HP,95610,95,VAL D'OISE,IDF,9,4,9,31,2022
HP,95620,95,VAL D'OISE,IDF,2,2,2,2,2020
HP,95620,95,VAL D'OISE,IDF,1,1,1,1,2021
HC,95620,95,VAL D'OISE,IDF,2,1,1,9,2022
HP,95620,95,VAL D'OISE,IDF,17,4,17,60,2022
HP,95630,95,VAL D'OISE,IDF,8,3,8,26,2022
HP,95640,95,VAL D'OISE,IDF,3,3,3,6,2020
HP,95640,95,VAL D'OISE,IDF,4,1,4,19,2021
HP,95640,95,VAL D'OISE,IDF,6,4,6,17,2022
HP,95670,95,VAL D'OISE,IDF,13,8,13,45,2020
HP,95670,95,VAL D'OISE,IDF,7,6,7,16,2021
HC,95670,95,VAL D'OISE,IDF,12,3,3,57,2022
HP,95670,95,VAL D'OISE,IDF,13,11,13,29,2022
HC,95690,95,VAL D'OISE,IDF,4,2,2,19,2021
HP,95690,95,VAL D'OISE,IDF,1,1,1,1,2021
HP,95810,95,VAL D'OISE,IDF,3,2,3,7,2020
HC,95820,95,VAL D'OISE,IDF,6,2,2,33,2020
HC,95820,95,VAL D'OISE,IDF,5,2,2,26,2021
HP,95820,95,VAL D'OISE,IDF,59,4,59,226,2021
HP,95820,95,VAL D'OISE,IDF,37,8,37,126,2022
HP,95870,95,VAL D'OISE,IDF,1,1,1,1,2020
HP,95870,95,VAL D'OISE,IDF,7,3,7,23,2021
HP,95870,95,VAL D'OISE,IDF,6,6,6,6,2022
HP,99131,99,Belgique,Belgique,1,1,1,1,2021
HP,27C04,27,EURE,NORMANDIE,1,1,1,1,2021
HC,27C04,27,EURE,NORMANDIE,11,1,1,70,2022
HP,27C04,27,EURE,NORMANDIE,4,2,4,16,2022
HP,27C05,27,EURE,NORMANDIE,1,1,1,1,2021
HP,27C07,27,EURE,NORMANDIE,16,2,16,69,2022
HP,27C10,27,EURE,NORMANDIE,1,1,1,1,2022
HP,59C05,59,NORD,HDF,1,1,1,1,2020
HC,59C05,59,NORD,HDF,2,1,1,6,2021
HP,60C01,60,OISE,HDF,2,2,2,2,2020
HC,60C01,60,OISE,HDF,5,3,3,18,2021
HP,60C01,60,OISE,HDF,7,6,7,14,2021
HC,60C01,60,OISE,HDF,18,4,4,94,2022
HP,60C01,60,OISE,HDF,37,14,37,82,2022
HP,60C02,60,OISE,HDF,3,3,3,3,2022
HP,60C04,60,OISE,HDF,14,1,14,58,2022
HP,77C01,77,SEINE ET MARNE,IDF,2,2,2,2,2020
HP,77C01,77,SEINE ET MARNE,IDF,7,4,7,21,2021
HC,77C01,77,SEINE ET MARNE,IDF,23,2,2,139,2022
HP,77C01,77,SEINE ET MARNE,IDF,1,1,1,1,2022
HP,78C03,78,YVELINES,IDF,1,1,1,1,2021
HP,95C01,95,VAL D'OISE,IDF,20,5,20,85,2020
HP,95C01,95,VAL D'OISE,IDF,42,4,42,181,2021
HP,95C01,95,VAL D'OISE,IDF,12,2,12,32,2022
HP,95C02,95,VAL D'OISE,IDF,9,3,9,35,2020
HP,95C02,95,VAL D'OISE,IDF,9,5,9,23,2022
HC,95C03,95,VAL D'OISE,IDF,27,12,12,128,2020
HP,95C03,95,VAL D'OISE,IDF,53,20,53,170,2020
HC,95C03,95,VAL D'OISE,IDF,35,8,8,197,2021
HP,95C03,95,VAL D'OISE,IDF,45,22,45,151,2021
HC,95C03,95,VAL D'OISE,IDF,9,3,3,50,2022
HP,95C03,95,VAL D'OISE,IDF,59,32,59,178,2022
HC,95C04,95,VAL D'OISE,IDF,5,3,3,15,2020
HP,95C04,95,VAL D'OISE,IDF,2,2,2,2,2020
HC,95C04,95,VAL D'OISE,IDF,6,3,3,30,2021
HP,95C04,95,VAL D'OISE,IDF,10,5,10,37,2021
HC,95C04,95,VAL D'OISE,IDF,5,1,1,28,2022
HP,95C04,95,VAL D'OISE,IDF,5,5,5,8,2022
HC,9A000,9A,GUADELOUPE,TOM,22,3,3,134,2020
HC,9A010,9A,GUADELOUPE,TOM,26,2,2,170,2020
HC,9A011,9A,GUADELOUPE,TOM,9,1,1,59,2020
HC,9A016,9A,GUADELOUPE,TOM,2,1,1,7,2022
HP,9A016,9A,GUADELOUPE,TOM,4,2,4,19,2022
HC,9A020,9A,GUADELOUPE,TOM,3,1,1,18,2020
HC,9A022,9A,GUADELOUPE,TOM,8,4,4,30,2021
HC,9A022,9A,GUADELOUPE,TOM,9,1,1,52,2022
HP,9A029,9A,GUADELOUPE,TOM,2,1,2,5,2020
HC,9A029,9A,GUADELOUPE,TOM,28,3,3,170,2022
HP,9A029,9A,GUADELOUPE,TOM,1,1,1,1,2022
HP,9A080,9A,GUADELOUPE,TOM,3,1,3,12,2020
HC,9A080,9A,GUADELOUPE,TOM,20,2,2,130,2021
HC,9A080,9A,GUADELOUPE,TOM,8,1,1,53,2022
HP,9A090,9A,GUADELOUPE,TOM,2,2,2,2,2021
HC,9B024,9B,MARTINIQUE,TOM,5,2,2,22,2022
HC,9B050,9B,MARTINIQUE,TOM,17,1,1,115,2020
HP,9D000,9D,REUNION,TOM,2,1,2,2,2020
HP,9D070,9D,REUNION,TOM,1,1,1,1,2021
HC,02000,02,AISNE,HDF,4,1,1,26,2019
HC,02140,02,AISNE,HDF,14,1,1,79,2019
HC,02300,02,AISNE,HDF,4,2,2,22,2019
HC,02880,02,AISNE,HDF,12,1,1,76,2019
HC,27170,27,EURE,NORMANDIE,17,11,11,76,2019
HC,50490,50,MANCHE,NORMANDIE,6,6,6,22,2019
HC,59491,59,NORD,HDF,11,2,2,70,2019
HC,60000,60,OISE,HDF,18,2,2,115,2019
HC,60100,60,OISE,HDF,20,7,7,107,2019
HC,60160,60,OISE,HDF,37,11,11,209,2019
HC,60175,60,OISE,HDF,3,2,2,13,2019
HC,60180,60,OISE,HDF,4,1,1,24,2019
HC,60190,60,OISE,HDF,4,2,2,18,2019
HC,60200,60,OISE,HDF,5,3,3,26,2019
HC,60250,60,OISE,HDF,20,4,4,95,2019
HC,60260,60,OISE,HDF,6,3,3,30,2019
HC,60290,60,OISE,HDF,8,1,1,47,2019
HC,60300,60,OISE,HDF,3,1,1,15,2019
HC,60350,60,OISE,HDF,10,7,7,43,2019
HC,60370,60,OISE,HDF,3,2,2,15,2019
HC,60420,60,OISE,HDF,7,2,2,42,2019
HC,60500,60,OISE,HDF,5,5,5,20,2019
HC,60520,60,OISE,HDF,1,1,1,4,2019
HC,60580,60,OISE,HDF,3,1,1,16,2019
HC,60600,60,OISE,HDF,17,4,4,80,2019
HC,60650,60,OISE,HDF,1,1,1,4,2019
HC,60660,60,OISE,HDF,6,1,1,38,2019
HC,60700,60,OISE,HDF,17,4,4,95,2019
HC,60730,60,OISE,HDF,8,3,3,34,2019
HC,60740,60,OISE,HDF,4,1,1,21,2019
HC,61000,61,ORNE,NORMANDIE,30,6,6,176,2019
HC,75010,75,PARIS,IDF,33,8,8,202,2019
HC,75013,75,PARIS,IDF,3,1,1,18,2019
HC,75018,75,PARIS,IDF,6,1,1,38,2019
HC,75019,75,PARIS,IDF,4,1,1,25,2019
HC,75020,75,PARIS,IDF,6,1,1,33,2019
HC,76290,76,SEINE MARITIME,NORMANDIE,9,9,9,32,2019
HC,76600,76,SEINE MARITIME,NORMANDIE,19,8,8,95,2019
HC,76930,76,SEINE MARITIME,NORMANDIE,13,5,5,71,2019
HC,77230,77,SEINE ET MARNE,IDF,2,1,1,9,2019
HC,78210,78,YVELINES,IDF,10,2,2,60,2019
HC,78360,78,YVELINES,IDF,16,12,12,71,2019
HC,78800,78,YVELINES,IDF,13,2,2,80,2019
HC,80400,80,SOMME,HDF,4,4,4,16,2019
HC,89100,89,YONNE,BFC,6,3,3,21,2019
HC,92320,92,HAUTS DE SEINE,IDF,2,1,1,7,2019
HC,92370,92,HAUTS DE SEINE,IDF,5,3,3,11,2019
HC,92600,92,HAUTS DE SEINE,IDF,3,2,2,10,2019
HC,93000,93,SEINE SAINT DENIS,IDF,44,1,1,304,2019
HC,93100,93,SEINE SAINT DENIS,IDF,10,5,5,46,2019
HC,93270,93,SEINE SAINT DENIS,IDF,5,2,2,30,2019
HC,93800,93,SEINE SAINT DENIS,IDF,18,3,3,110,2019
HC,94200,94,VAL DE MARNE,IDF,2,2,2,7,2019
HC,95100,95,VAL D'OISE,IDF,20,5,5,121,2019
HC,95140,95,VAL D'OISE,IDF,13,8,8,61,2019
HC,95210,95,VAL D'OISE,IDF,1,1,1,7,2019
HC,95230,95,VAL D'OISE,IDF,2,1,1,7,2019
HC,95290,95,VAL D'OISE,IDF,11,11,11,39,2019
HC,95310,95,VAL D'OISE,IDF,3,1,1,15,2019
HC,95370,95,VAL D'OISE,IDF,12,1,1,72,2019
HC,95400,95,VAL D'OISE,IDF,32,2,2,186,2019
HC,95410,95,VAL D'OISE,IDF,21,1,1,143,2019
HC,95470,95,VAL D'OISE,IDF,12,3,3,63,2019
HC,95490,95,VAL D'OISE,IDF,8,5,5,40,2019
HC,95500,95,VAL D'OISE,IDF,13,4,4,71,2019
HC,95540,95,VAL D'OISE,IDF,23,7,7,101,2019
HC,95600,95,VAL D'OISE,IDF,64,14,14,367,2019
HC,95630,95,VAL D'OISE,IDF,20,18,18,69,2019
HC,95640,95,VAL D'OISE,IDF,9,2,2,50,2019
HC,95810,95,VAL D'OISE,IDF,10,3,3,39,2019
HC,95820,95,VAL D'OISE,IDF,3,1,1,15,2019
HC,95C02,95,VAL D'OISE,IDF,5,3,3,23,2019
HC,95C03,95,VAL D'OISE,IDF,46,3,3,305,2019
HC,95C04,95,VAL D'OISE,IDF,15,4,4,78,2019
HC,9A011,9A,GUADELOUPE,TOM,3,2,2,16,2019
HC,9A015,9A,GUADELOUPE,TOM,21,1,1,140,2019
HC,9A020,9A,GUADELOUPE,TOM,3,1,1,18,2019
HC,9A039,9A,GUADELOUPE,TOM,16,2,2,97,2019
HC,9A070,9A,GUADELOUPE,TOM,27,1,1,183,2019
HC,9A080,9A,GUADELOUPE,TOM,26,1,1,176,2019
HC,9A090,9A,GUADELOUPE,TOM,16,2,2,98,2019
HC,9B000,9B,MARTINIQUE,TOM,4,3,3,18,2019
HP,02140,02,AISNE,HDF,1,1,1,1,2019
HP,02200,02,AISNE,HDF,1,1,1,1,2019
HP,02210,02,AISNE,HDF,1,1,1,1,2019
HP,02300,02,AISNE,HDF,9,4,9,31,2019
HP,02490,02,AISNE,HDF,1,1,1,1,2019
HP,03000,03,ALLIER,ARA,1,1,1,1,2019
HP,08300,08,ARDENNES,GE,1,1,1,1,2019
HP,10110,10,AUBE,GE,1,1,1,1,2019
HP,10170,10,AUBE,GE,1,1,1,1,2019
HP,10300,10,AUBE,GE,1,1,1,1,2019
HP,18800,18,CHER,CVL,1,1,1,1,2019
HP,22590,22,COTES D-ARMOR,B,8,1,8,37,2019
HP,27170,27,EURE,NORMANDIE,1,1,1,1,2019
HP,27210,27,EURE,NORMANDIE,1,1,1,1,2019
HP,27470,27,EURE,NORMANDIE,16,2,16,56,2019
HP,28100,28,EURE ET LOIR,CVL,1,1,1,1,2019
HP,28500,28,EURE ET LOIR,CVL,1,1,1,1,2019
HP,37510,37,INDRE ET LOIR,CVL,1,1,1,4,2019
HP,40290,40,LANDES,NLLE AQ,3,2,3,15,2019
HP,50490,50,MANCHE,NORMANDIE,1,1,1,1,2019
HP,51100,51,MARNE,GE,1,1,1,1,2019
HP,58180,58,NIEVRE,BFC,1,1,1,1,2019
HP,59100,59,NORD,HDF,1,1,1,1,2019
HP,59250,59,NORD,HDF,1,1,1,1,2019
HP,59253,59,NORD,HDF,1,1,1,1,2019
HP,60000,60,OISE,HDF,8,5,8,9,2019
HP,60100,60,OISE,HDF,85,44,85,212,2019
HP,60110,60,OISE,HDF,98,12,98,405,2019
HP,60119,60,OISE,HDF,4,1,4,4,2019
HP,60126,60,OISE,HDF,1,1,1,1,2019
HP,60127,60,OISE,HDF,4,4,4,4,2019
HP,60128,60,OISE,HDF,24,1,24,97,2019
HP,60130,60,OISE,HDF,11,7,11,19,2019
HP,60140,60,OISE,HDF,71,8,71,306,2019
HP,60150,60,OISE,HDF,1,1,1,1,2019
HP,60160,60,OISE,HDF,55,26,55,180,2019
HP,60170,60,OISE,HDF,14,9,14,15,2019
HP,60175,60,OISE,HDF,5,1,5,23,2019
HP,60180,60,OISE,HDF,20,12,20,59,2019
HP,60190,60,OISE,HDF,13,9,13,38,2019
HP,60200,60,OISE,HDF,90,18,90,372,2019
HP,60230,60,OISE,HDF,3,3,3,3,2019
HP,60240,60,OISE,HDF,23,2,23,78,2019
HP,60250,60,OISE,HDF,16,11,16,39,2019
HP,60260,60,OISE,HDF,58,23,58,224,2019
HP,60270,60,OISE,HDF,4,3,4,16,2019
HP,60280,60,OISE,HDF,4,4,4,4,2019
HP,60290,60,OISE,HDF,68,20,68,239,2019
HP,60300,60,OISE,HDF,31,11,31,111,2019
HP,60310,60,OISE,HDF,8,5,8,8,2019
HP,60320,60,OISE,HDF,33,8,33,122,2019
HP,60330,60,OISE,HDF,2,2,2,2,2019
HP,60340,60,OISE,HDF,28,11,28,103,2019
HP,60350,60,OISE,HDF,8,8,8,8,2019
HP,60370,60,OISE,HDF,2,2,2,2,2019
HP,60400,60,OISE,HDF,14,10,14,27,2019
HP,60410,60,OISE,HDF,2,2,2,2,2019
HP,60420,60,OISE,HDF,18,11,18,42,2019
HP,60430,60,OISE,HDF,7,2,7,27,2019
HP,60440,60,OISE,HDF,3,2,3,11,2019
HP,60460,60,OISE,HDF,5,4,5,13,2019
HP,60490,60,OISE,HDF,23,16,23,62,2019
HP,60500,60,OISE,HDF,8,8,8,15,2019
HP,60510,60,OISE,HDF,39,6,39,171,2019
HP,60520,60,OISE,HDF,67,10,67,229,2019
HP,60530,60,OISE,HDF,42,9,42,165,2019
HP,60540,60,OISE,HDF,3,3,3,3,2019
HP,60550,60,OISE,HDF,1,1,1,5,2019
HP,60570,60,OISE,HDF,9,3,9,32,2019
HP,60580,60,OISE,HDF,31,9,31,103,2019
HP,60600,60,OISE,HDF,33,12,33,121,2019
