type_hosp,codeGeo,Dépt,DéptNom,GDE REG,Nb RHA,Nb SSRHA,Nb séjours,Nb journées,Année
HP,60126,60,OISE,HDF,1,1,1,1,2020
HP,60126,60,OISE,HDF,8,3,8,24,2021
HP,60127,60,OISE,HDF,7,4,7,7,2020
HP,60127,60,OISE,HDF,2,2,2,2,2021
HP,60127,60,OISE,HDF,1,1,1,1,2022
HP,60130,60,OISE,HDF,2,2,2,6,2020
HP,60130,60,OISE,HDF,7,4,7,7,2021
HP,60130,60,OISE,HDF,9,6,9,21,2022
HP,60140,60,OISE,HDF,45,8,45,151,2020
HP,60140,60,OISE,HDF,45,11,45,114,2021
HP,60140,60,OISE,HDF,7,4,7,21,2022
HP,60150,60,OISE,HDF,5,5,5,5,2020
HC,60150,60,OISE,HDF,5,3,3,13,2021
HP,60150,60,OISE,HDF,11,9,11,19,2021
HC,60150,60,OISE,HDF,36,7,7,208,2022
HP,60150,60,OISE,HDF,21,12,21,50,2022
HC,60160,60,OISE,HDF,12,3,3,72,2020
HP,60160,60,OISE,HDF,35,13,35,112,2020
HP,60160,60,OISE,HDF,127,26,127,506,2021
HC,60160,60,OISE,HDF,15,3,3,84,2022
HP,60160,60,OISE,HDF,171,27,171,657,2022
HP,60170,60,OISE,HDF,4,3,4,12,2020
HP,60170,60,OISE,HDF,27,7,27,95,2021
HC,60170,60,OISE,HDF,8,2,2,33,2022
HP,60170,60,OISE,HDF,68,11,68,258,2022
HP,60175,60,OISE,HDF,18,3,18,70,2022
HC,60180,60,OISE,HDF,4,1,1,20,2020
HP,60180,60,OISE,HDF,25,13,25,79,2020
HC,60180,60,OISE,HDF,29,4,4,174,2021
HP,60180,60,OISE,HDF,38,20,38,85,2021
HC,60180,60,OISE,HDF,19,3,3,111,2022
HP,60180,60,OISE,HDF,88,35,88,312,2022
HP,60190,60,OISE,HDF,18,4,18,77,2020
HP,60190,60,OISE,HDF,46,6,46,205,2021
HP,60190,60,OISE,HDF,48,10,48,183,2022
HP,60200,60,OISE,HDF,34,20,34,81,2020
HC,60200,60,OISE,HDF,22,5,5,119,2021
HP,60200,60,OISE,HDF,70,31,70,240,2021
HC,60200,60,OISE,HDF,3,1,1,16,2022
HP,60200,60,OISE,HDF,30,21,30,89,2022
HP,60230,60,OISE,HDF,5,2,5,5,2020
HC,60230,60,OISE,HDF,3,1,1,17,2022
HP,60230,60,OISE,HDF,6,6,6,6,2022
HP,60240,60,OISE,HDF,3,2,3,3,2020
HP,60240,60,OISE,HDF,12,6,12,35,2021
HP,60240,60,OISE,HDF,3,2,3,15,2022
HC,60250,60,OISE,HDF,5,3,3,23,2020
HP,60250,60,OISE,HDF,4,4,4,4,2020
HC,60250,60,OISE,HDF,3,1,1,15,2021
HP,60250,60,OISE,HDF,62,17,62,199,2021
HP,60250,60,OISE,HDF,37,8,37,147,2022
